threshold,accuracy,precision,recall,f1
0.05,0.936033084483592,0.9372177306941734,0.9961479198767335,0.9657847108506421
0.06,0.9376980503786455,0.9398231079265562,0.9949626644541899,0.9666071737002706
0.07,0.9394704334282185,0.9424557459960663,0.9938959345739007,0.9674925726153047
0.08,0.9410279821687524,0.9446448703494926,0.9931255185492474,0.968278731149246
0.09,0.9423706966002471,0.9470884500028295,0.9918217375844495,0.9689390649876972
0.1,0.9434448681454428,0.9494346912107267,0.99034016830627,0.9694561276287165
0.11,0.9442504968043397,0.9516828294352538,0.988680810714709,0.9698290896407394
0.12,0.9448412911541973,0.9536268391824584,0.9871399786654024,0.9700940566669579
0.13,0.9448412911541973,0.9547724272513345,0.9858361977006045,0.970055690002041
0.14,0.9452709597722756,0.9562064798296599,0.984710205049188,0.970249043823538
0.15,0.9455932112358344,0.9575904448675784,0.9835249496266445,0.970384446718316
0.16,0.9462377141629518,0.959049106368211,0.9826360080597368,0.9706992945584404
0.17,0.9460765884311725,0.960427062782871,0.9809173876970487,0.9705640905359446
0.18,0.945700628390354,0.9614825158550067,0.979317292876615,0.9703179589559907
0.19,0.9446264568451582,0.9624073317377853,0.9770653075737822,0.9696809292751066
0.2,0.9447875825769375,0.9639845397048489,0.9755244755244755,0.969720176730486
0.21,0.9441967882270799,0.964669288103762,0.9741021690174233,0.969362781234335
0.22,0.9439819539180407,0.9659191241391488,0.9725020741969894,0.9691994211971768
0.23,0.9434985767227027,0.9668358314646525,0.9709612421476829,0.9688941454760497
0.24,0.9429077823728449,0.9679195028114826,0.9691240962427403,0.9685214249755693
0.25,0.9425855309092862,0.9691860119931128,0.9674054758800521,0.9682949254085477
0.26,0.9422632794457275,0.9702363235906899,0.9659239066018727,0.968075312564963
0.27,0.9416724850958698,0.9716214601505556,0.9637904468412943,0.967690110674759
0.28,0.9401686449325958,0.9721390053924506,0.9615384615384616,0.9668096770349184
0.29,0.9396852677372577,0.973031413298096,0.9600568922602821,0.9665006115204486
0.3,0.9389870562328804,0.9738648681199567,0.9583975346687211,0.9660692951015531
0.31,0.9379665932649444,0.9745215238785244,0.9565603887637786,0.9654574274007836
0.32,0.9356034158655138,0.9753168779186124,0.9530638852672751,0.9640619848334981
0.33,0.9340458671249798,0.9760832521908471,0.9505155861088065,0.9631297664084549
0.34,0.932488318384446,0.9766221082829762,0.9482043380348465,0.9622034458910906
0.35,0.9303399752940544,0.977031910332578,0.945359725020742,0.9609349115990482
0.36,0.9289972608625597,0.9778173774118225,0.9430484769467821,0.9601182575117654
0.37,0.9274397121220259,0.9787207796212916,0.9403816522460591,0.9591682533925711
0.38,0.9266877920403889,0.9794719594385705,0.9387815574256252,0.9586951916966744
0.39,0.9252913690316343,0.9800930232558139,0.9365888348939196,0.957847207491136
0.4,0.9235189859820613,0.980410447761194,0.9342775868199596,0.9567882502882806
0.41,0.9222299801278264,0.9813404892661008,0.9319070759748725,0.9559851662715059
0.42,0.9211558085826307,0.9819797271930922,0.9300699300699301,0.9553201850499148
0.43,0.9186315054514206,0.9823503548772062,0.9268697404290624,0.9538039335264522
0.44,0.916483162361029,0.9828531803568051,0.9239658646438308,0.9525002290985735
0.45,0.9147107793114561,0.9832448153768336,0.9215953537987436,0.9514224533496483
0.46,0.9125624362210645,0.9836928934010152,0.9187507407846391,0.9501133786848073
0.47,0.9101992588216338,0.9842018091476621,0.9156098139148987,0.9486675672356625
0.48,0.9079434985767227,0.9851510496671787,0.9121725731895224,0.9472582928180195
0.49,0.9059562812181106,0.9855519167790406,0.9095650112599265,0.9460350725798995
0.5,0.9037542295504593,0.9860144367104924,0.9066611354746948,0.9446742821858598
0.51,0.9010688006874698,0.9862836438923396,0.9034016830627,0.9430250541292917
0.52,0.8991890004833772,0.9869472043639197,0.9006755955908499,0.9418399281132835
0.53,0.8966109887749073,0.9873508508834844,0.8974161431788551,0.9402378069603552
0.54,0.8939255599119179,0.9877561710207556,0.8940381652246059,0.9385634740411236
0.55,0.8916697996670068,0.988106971548722,0.8911935522105013,0.9371514037329013
0.56,0.8883398678768999,0.9883160604660374,0.8872822093161076,0.9350779127502108
0.57,0.8853321875503518,0.9887260428410372,0.8835486547350954,0.9331831126967733
0.58,0.881733712873946,0.9889362836576913,0.8793409979850658,0.9309241483154527
0.59,0.8791557011654761,0.9894898915517473,0.8759630200308166,0.9292719728404376
0.6,0.8759331865298888,0.9897108271687962,0.8721702026786773,0.9272303427419355
0.61,0.8717976260808851,0.9901874534749949,0.8671328671328671,0.9245837414299706
0.62,0.8640635909554756,0.9904931263251487,0.8582434514637904,0.9196380377837752
0.63,0.8599280305064719,0.9909829295154186,0.8532061159179803,0.9169479650977644
0.64,0.8539126698533755,0.9914583333333333,0.8460945833827189,0.9130267954211165
0.65,0.8506364466405285,0.9914905489293436,0.8424202915728339,0.9108967992054083
0.66,0.8461249261507062,0.9919926950902578,0.8369681166291336,0.9079103853942335
0.67,0.841130028465546,0.9924274593064402,0.8310418395164157,0.9045929557476454
0.68,0.8354906278532682,0.9925814965404094,0.8246414602346805,0.9008513255430033
0.69,0.8304957301681078,0.992956734224522,0.81877444589309,0.8974925295569702
0.7,0.8252322895966486,0.9933352651405389,0.8126111176958635,0.8939305039441945
0.71,0.8198614318706697,0.9934306569343065,0.8065663150408913,0.8902989468175574
0.72,0.8136312369085343,0.9936652916912198,0.79945478250563,0.8860426929392446
0.73,0.8079381277189968,0.99383541295306,0.7929951404527675,0.8821280242600039
0.74,0.8025135614157581,0.9942326417496816,0.7866540239421596,0.8783457402812241
0.75,0.796444492185402,0.9944074969770254,0.7797795424914069,0.8741114727961203
0.76,0.7894623771416295,0.994502977553825,0.7719568567026194,0.8692112638462565
0.77,0.782748804984156,0.9949841808781542,0.764134170913832,0.8644118928703114
0.78,0.7743165583543692,0.994922668333073,0.754829915846865,0.8584040975872759
0.79,0.7663139803426607,0.995254290911967,0.7457034490932796,0.8525934207405902
0.8,0.7583114023309523,0.9955943607818007,0.7365769823396942,0.8467198038013488
0.81,0.749986572855685,0.9958607255904554,0.727154201730473,0.8405548895358794
0.82,0.7418228691121972,0.9960536051960865,0.7179684722057603,0.8344525949650446
0.83,0.7317793651646168,0.9962406015037594,0.7067085456915966,0.826861739009846
0.84,0.7220044041033353,0.9964352401969105,0.6957449330330686,0.8193746510329425
0.85,0.7113701058058972,0.996889042516419,0.6836553277231243,0.8110806440272798
0.86,0.6991245501906654,0.9970017636684303,0.6700248903638734,0.8014460905933225
0.87,0.6877920403888501,0.9973024008632317,0.6572833945715302,0.7923557778174674
0.88,0.6745260218056823,0.9975156422524843,0.6424677017897357,0.781558647538029
0.89,0.6577689457006284,0.9978194918467956,0.6237406661135475,0.7676318284589017
0.9,0.6402062409366776,0.9980420949583945,0.6041839516415788,0.7527040496142345
0.91,0.6221601589773887,0.9983790902644109,0.5840346094583383,0.7369601794727987
0.92,0.603791825554541,0.9984255274483048,0.5637074789617162,0.720578765955835
0.93,0.5816638917235083,0.9983543609434997,0.539291217257319,0.700296279195044
0.94,0.5563671518341479,0.9984953703703704,0.5112599265141639,0.6762561730814455
0.95,0.527418228691122,0.9986414721501791,0.47919876733436056,0.647631252252613
